contrast,metric,scope,n,mean_diff,ci_lo,ci_hi,p_raw,direction_consistent,family,p_adj
transformer_cl/replay - transformer_cl/cat,clean MCC,TONIoT,5,-0.1714582711420674,-0.18539104425736289,-0.15752549802677196,0.0625,True,secondary,
transformer_cl/replay - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.15722525032899123,,,0.005649717514124294,True,secondary,0.0790960451977401
transformer_cl/robustcat - transformer_cl/cat,average accuracy,CICIoMT,5,-0.04778,-0.07797999999999998,-0.016839999999999987,0.125,True,secondary,
transformer_cl/robustcat - transformer_cl/cat,average accuracy,CICIoT,5,-0.02841999999999998,-0.09683999999999997,0.025660000000000016,0.8125,True,secondary,
transformer_cl/robustcat - transformer_cl/cat,average accuracy,TONIoT,5,-0.009240000000000003,-0.014500000000000023,-0.0039799999999999836,0.0625,True,secondary,
transformer_cl/robustcat - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.028479999999999995,,,0.03464826758662067,True,secondary,0.45042747862606874
transformer_cl/robustcat - transformer_cl/cat,clean MCC,CICIoMT,5,-0.03908854048633716,-0.07722605755708019,-0.0024015002210191925,0.125,True,secondary,
transformer_cl/robustcat - transformer_cl/cat,clean MCC,CICIoT,5,-0.0704867692316606,-0.2047998565091592,0.041707412104941305,0.8125,True,secondary,
transformer_cl/robustcat - transformer_cl/cat,clean MCC,TONIoT,5,-0.01925586484641406,-0.031382972381671245,-0.007128757311156875,0.0625,True,secondary,
transformer_cl/robustcat - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.04294372485480394,,,0.06859657017149143,True,secondary,0.6859657017149143
